'abbas;m;arabic
'abla;f;arabic
'aisha;f;arabic
'aziz;m;arabic
'isam;m;arabic
'ismat;m,f;arabic
Aaliyah;f;english
Aapeli;m;finnish
Aapo;m;finnish
Aaren;m,f;english
Aarne;m;finnish
Aaron;m;english,biblical
Aarón;m;spanish
Aatami;m;finnish
Aatto;m;finnish
Aatu;m;finnish
Abaddon;m;biblical
Abbey;f;english
Abbie;f;english
Abby;f;english
Abbán;m;irish
Abd-al-aziz;m;arabic
Abd-al-malik;m;arabic
Abd-al-qadir;m;arabic
Abd-al-rahman;m;arabic
Abd-allah;m;arabic
Abdul-aziz;m;arabic
Abdul-rahman;m;arabic
Abdul;m;arabic
Abdullah;m;arabic
Abe;m;english,jewish
Abednego;m;biblical
Abegail;f;spanish
Abel;m;english,french,spanish,biblical
Abelone;f;danish
Abena;f;african
Abeni;f;african
Abhay;m;indian
Abiah;m,f;biblical
Abidan;m;biblical
Abidemi;m;african
Abiel;m;biblical
Abigail;f;english,german,biblical
Abigayle;f;english
Abihu;m;biblical
Abijah;m,f;biblical
Abilene;f;biblical
Abimael;m;biblical
Abiram;m;biblical
Abisai;m;biblical
Abishag;f;biblical
Abishai;m;biblical
Abital;f;biblical
Abner;m;english,biblical
Abraham;m;english,jewish,biblical
Abram;m;biblical
Absalom;m;english,biblical
Absolon;m;french
Acacia;f;english
Acacius;m;greek
Acantha;f;greek
Ace;m;english
Achaicus;m;biblical,greek
Achan;m;biblical
Achieng;f;african
Achille;m;french,italian
Achilles;m;greek
Achim;m;german
Acke;m;swedish
Ada;f;english
Adah;f;biblical
Adair;m;
Adalbert;m;ancientgermanic,german
Adalberto;m;italian,spanish,portuguese
Adalheid;f;german
Adalia;m;biblical
Adam;m;english,french,german,polish,russian,romanian,biblical
Adamina;f;english
Adamo;m;italian
Adara;f;
Addie;f;english
Addison;m,f;english
Addy;f;english
Adel;m;arabic
Adela;f;english
Adelaide;f;english
Adelheid;f;german,dutch
Adelia;f;english
Adelina;f;italian,portuguese,spanish
Adeline;f;french,english
Adelle;f;english
Adelmar;m;german
Adem;m;turkish
Aden;m;
Adena;f;
Adhara;f;astronomy
Adhiambo;f;african
Adi;f;jewish
Adil;m;arabic
Adina;m,f;biblical
Adino;m;biblical
Adisa;m;african
Aditya;m;indian
Adjoa;f;african
Adlai;m;biblical
Adolf;m;german
Adolfo;m;italian,spanish
Adolph;m;english
Adolphe;m;french
Adolphus;m;history
Adonai;m;theology
Adonia;f;
Adonijah;m;biblical
Adonis;m;greek
Adora;f;spanish
Adorinda;f;esperanto
Adorján;m;hungarian
Adrasteia;f;greek
Adrastos;m;greek
Adria;f;english
Adriaan;m;dutch
Adrian;m;english,romanian,russian
Adriana;f;italian,spanish,portuguese,romanian,english
Adrianna;f;english
Adrianne;f;english
Adriano;m;italian
Adrien;m;french
Adrienn;f;hungarian
Adrienne;f;french
Adrián;m;spanish
Adwoa;f;african
Adán;m;spanish
Adão;m;portuguese
Adèle;f;french
Adélaïde;f;french
Aegle;f;greek
Aella;f;greek
Aemilia;f;roman
Aeneas;m;roman
Aengus;m;irish
Aeolus;m;greek
Aeron;m,f;welsh
Aeron;m,f;welsh
Aeronwen;f;welsh
Aeronwy;f;welsh
Aeschylus;m;greek
Aeson;m;greek
Aesop;m;greek
Afanasi;m;russian
Afanasy;m;russian
Afanen;f;welsh
Afia;f;african
Afolabi;m;african
Afon;m,f;welsh
Afonso;m;portuguese
Afra;f;
Africa;f;english
Afua;f;african
Agafya;f;russian
Agamemnon;m;greek
Agape;f;greek
Agapios;m;greek
Agata;f;italian,spanish,polish,czech,slovene,russian
Agatha;f;english
Agathangelos;f;greek
Agathe;f;french,german,greek
Agathon;m;greek
Agaue;f;greek
Aggie;f;english
Aghavni;f;armenian
Aglaia;f;greek
Aglaya;f;russian
Aglea;f;
Agnes;f;english,german,dutch,scandinavian
Agnese;f;italian,latvian
Agnessa;f;russian
Agneta;f;swedish
Agnethe;f;german
Agnieszka;f;polish
Agnès;f;french
Agostina;f;italian
Agostinho;m;portuguese
Agostino;m;italian
Agrafena;f;russian
Agrippa;m;roman,biblical
Agrippina;f;roman
Agrona;f;celtic
Agustín;m;spanish
Ah;m,f;chinese
Ahab;m;biblical
Aharon;m;jewish
Ahmad;m;arabic
Ahmed;m;arabic
Ahmet;m;turkish
Ahriman;m;neareastern
Ahtahkakoop;m;nativeamerican
Ahuramazda;m;neareastern
Ahuva;f;jewish
Ai;f;chinese
Ai;f;japanese
Aias;m;greek
Aida;f;english
Aidan;m,f;irish,scottish
Aiden;m;
Aignéis;f;irish
Aikaterine;f;greek
Ailbhe;m,f;irish
Aileas;f;scottish
Aileen;f;scottish,english
Ailill;m;irish,irish
Ailpein;m;scottish
Ailsa;f;scottish
Ailín;m;irish
Ailís;f;irish
Aimo;m;finnish
Aimé;m;french
Aimée;f;french
Aina;f;spanish
Aindrea;m;scottish
Aindriú;m;irish
Aindréas;m;irish
Aingeal;f;irish
Aino;f;finnish
Ainsley;m,f;english,scottish
Ainslie;m,f;english,scottish
Aintzane;f;basque
Aiolos;m;greek
Aislin;f;irish,english
Aisling;f;irish
Aislinn;f;irish
Aithne;f;irish
Aitor;m;basque
Ajax;m;greek
Ajeet;m;indian
Ajit;m;indian
Ajith;m;indian
Akakios;m;greek
Akamu;m;hawaiian
Akanksha;f;indian
Akeem;m;arabic
Akemi;f;japanese
Akhil;m;indian
Aki;m,f;japanese
Akiko;f;japanese
Akilah;f;arabic
Akilina;f;russian
Akim;m;russian
Akinyi;f;african
Akio;m;japanese
Akira;m;japanese
Akiva;m;jewish
Akoni;m;hawaiian
Akosua;f;african
Aksel;m;danish,norwegian
Aksinya;f;russian
Aku;m;finnish
Akua;f;african
Akulina;f;russian
Al;m;english
Alaba;f;african
Alain;m;french
Alaina;f;english
Alan;m;english,scottish
Alana;f;english
Alanis;f;english
Alanna;f;english
Alannah;f;english
Alannis;f;english
Alaois;m;irish
Alaric;m;history
Alasdair;m;scottish
Alastair;m;scottish
Alastar;m;irish
Alastríona;f;irish
Alayna;f;english
Alba;f;italian,spanish
Alban;m;english,german
Alberic;m;english
Albert;m;english,french
Alberta;f;english,italian
Albertina;f;italian,german,portuguese,english
Albertine;f;french
Alberto;m;italian,spanish,portuguese
Albina;f;italian
Albrecht;m;german
Alby;m;irish
Alcaeus;m;greek
Alcippe;f;greek
Alcyone;f;greek
Alden;m;english
Aldo;m;italian
