# List of first names and gender from ftp://ftp.heise.de/pub/ct/listings/0717-182.zip
# Copyright (c): 2007-2008: Jörg MICHAEL, Adalbert-Stifter-Str. 11, 30655 Hannover, Germany
# License: GFDL-1.2-or-later
###########################################################################################
Aad;the Netherlands:M:4;
Aadam;Estonia:M:1;
Aadje;the Netherlands:F:1;
Aadu;Estonia:M:1,Latvia:M:2;
Aaf;the Netherlands:?F:1;
Aafke;the Netherlands:F:4,East Frisia:?:1;
Aafkea;East Frisia:F:1;
Aafko;the Netherlands:M:1;
Aage;Denmark:M:7,Norway:M:6,Sweden:M:1;
Aagje;Belgium:F:1,the Netherlands:F:2;
Aagot;Norway:F:1;
Aagoth;Norway:F:1;
Aalbert;the Netherlands:M:1;
Aalderich;East Frisia:M:1;
Aalderk;East Frisia:M:1;
Aaldrik;the Netherlands:M:1;
Aale;Finland:M:1;
Aaliyah;U.S.A.:F:1;
Aalke;the Netherlands:F:1;
Aalt;the Netherlands:M:2;
Aaltien;the Netherlands:F:1,East Frisia:F:1;
Aaltinus;East Frisia:M:1;
Aaltje;the Netherlands:F:3,East Frisia:F:1;
Aaltsje;the Netherlands:F:1;
Aamir;Arabia/Persia:M:2;
Aant;the Netherlands:?F:1;
Aapeli;Finland:M:1;
Aapo;Finland:M:2;
Aappo;Finland:M:3;
Aard;the Netherlands:M:1;
Aare;Estonia:M:7;
Aarent;the Netherlands:M:1;
Aarjan;the Netherlands:M:1;
Aarne;Finland:M:6,Estonia:M:4;
Aarni;Finland:M:1;
Aarno;Finland:M:4;
Aarnoud;the Netherlands:M:1;
Aarnout;the Netherlands:M:1;
Aaro;Finland:M:4,Estonia:M:1;
Aaron;Great Britain:M:2,Ireland:M:2,U.S.A.:M:6,Malta:M:4,Belgium:M:2,Germany:M:2,Austria:M:1,Swiss:M:1,Israel:M:6;
Aarón;Spain:M:1;
Aarre;Finland:M:4;
Aarron;Great Britain:M:1;
Aart;the Netherlands:M:4;
Aarti;India:F:4,Sri Lanka:F:4;
Aase;Denmark:F:6,Norway:F:6,Sweden:F:1;
Aashild;Norway:F:1;
Aat;the Netherlands:M:1;
Aatami;Finland:M:1;
Aatos;Finland:M:4;
Aatto;Finland:M:4;
Aatu;Finland:M:1;
Aave;Estonia:F:2;
Aavo;Estonia:M:4;
Ab;the Netherlands:M:4;
Abad;Spain:M:1;
Abagail;U.S.A.:F:1;
Abai;Kazakhstan:M:3,Kyrgyzstan:M:3,Tajikistan:M:3,Turkmenistan:M:3,Uzbekistan:M:3;
Abas;Azerbaijan:M:1;
Abay;Kazakhstan:M:5,Kyrgyzstan:M:5,Tajikistan:M:5,Turkmenistan:M:5,Uzbekistan:M:5;
Abaz;Bosnia and Herzegovina:M:4,Kosovo:M:4,Albania:M:4;
Abbas;Azerbaijan:M:4,Turkey:M:4,Arabia/Persia:M:7;
Abbe;U.S.A.:F:1,East Frisia:?:1;
Abbey;Great Britain:F:1,U.S.A.:F:1;
Abbie;Great Britain:F:1,U.S.A.:F:1;
Abbigail;U.S.A.:F:1;
Abbo;East Frisia:M:2;
Abbondanza;Italy:F:1;
Abbondanzio;Italy:M:1;
Abbondio;Italy:M:1;
Abby;Great Britain:F:1,U.S.A.:F:2;
Abd;Arabia/Persia:M:2;
Abdal;Arabia/Persia:M:5;
Abdalla;Arabia/Persia:M:5;
Abdallah;Arabia/Persia:M:6;
Abdal-Salam;Arabia/Persia:M:1;
Abdal Salam;Arabia/Persia:M:1;
AbdalSalam;Arabia/Persia:M:1;
Abdel;Kazakhstan:M:2,Kyrgyzstan:M:2,Tajikistan:M:2,Turkmenistan:M:2,Uzbekistan:M:2,Arabia/Persia:M:6;
Abdel-Aziz;Arabia/Persia:M:5;
Abdel Aziz;Arabia/Persia:M:5;
AbdelAziz;Arabia/Persia:M:5;
Abdel-Fattah;Arabia/Persia:M:2;
Abdel Fattah;Arabia/Persia:M:2;
AbdelFattah;Arabia/Persia:M:2;
Abdel-Ghani;Arabia/Persia:M:2;
Abdel Ghani;Arabia/Persia:M:2;
AbdelGhani;Arabia/Persia:M:2;
Abdel-Hafid;Arabia/Persia:M:2;
Abdel Hafid;Arabia/Persia:M:2;
AbdelHafid;Arabia/Persia:M:2;
Abdel-Hafiz;Arabia/Persia:M:2;
Abdel Hafiz;Arabia/Persia:M:2;
AbdelHafiz;Arabia/Persia:M:2;
Abdel-Hak;Arabia/Persia:M:2;
Abdel Hak;Arabia/Persia:M:2;
AbdelHak;Arabia/Persia:M:2;
Abdel-Hakim;Arabia/Persia:M:2;
Abdel Hakim;Arabia/Persia:M:2;
AbdelHakim;Arabia/Persia:M:2;
Abdel-Halim;Arabia/Persia:M:2;
Abdel Halim;Arabia/Persia:M:2;
AbdelHalim;Arabia/Persia:M:2;
Abdel-Hamid;Arabia/Persia:M:2;
Abdel Hamid;Arabia/Persia:M:2;
AbdelHamid;Arabia/Persia:M:2;
Abdelilah;Arabia/Persia:M:4;
Abdel-Kader;Arabia/Persia:M:4;
Abdel Kader;Arabia/Persia:M:4;
AbdelKader;Arabia/Persia:M:4;
Abdel-Karim;Arabia/Persia:M:4;
Abdel Karim;Arabia/Persia:M:4;
AbdelKarim;Arabia/Persia:M:4;
Abdellah;Arabia/Persia:M:4;
Abdel-Latif;Arabia/Persia:M:4;
Abdel Latif;Arabia/Persia:M:4;
AbdelLatif;Arabia/Persia:M:4;
Abdel-Majid;Arabia/Persia:M:2;
Abdel Majid;Arabia/Persia:M:2;
AbdelMajid;Arabia/Persia:M:2;
Abdel-Rahman;Arabia/Persia:M:2;
Abdel Rahman;Arabia/Persia:M:2;
AbdelRahman;Arabia/Persia:M:2;
Abder-Rahim;Arabia/Persia:M:3;
Abder Rahim;Arabia/Persia:M:3;
AbderRahim;Arabia/Persia:M:3;
Abder-Rahman;Arabia/Persia:M:3;
Abder Rahman;Arabia/Persia:M:3;
AbderRahman;Arabia/Persia:M:3;
Abder-Rahmane;Arabia/Persia:M:3;
Abder Rahmane;Arabia/Persia:M:3;
AbderRahmane;Arabia/Persia:M:3;
Abder-Razak;Arabia/Persia:M:3;
Abder Razak;Arabia/Persia:M:3;
AbderRazak;Arabia/Persia:M:3;
Abdeslam;Arabia/Persia:M:3;
Abdi;Kosovo:M:2,Albania:M:2,Turkey:M:2,Arabia/Persia:M:2;
Abdija;Bosnia and Herzegovina:M:1;
Abdo;Arabia/Persia:M:4;
Abdol-Karim;Arabia/Persia:M:2;
Abdol Karim;Arabia/Persia:M:2;
AbdolKarim;Arabia/Persia:M:2;
Abdol-Reza;Arabia/Persia:M:2;
Abdol Reza;Arabia/Persia:M:2;
AbdolReza;Arabia/Persia:M:2;
Abdol-Saleh;Arabia/Persia:M:2;
Abdol Saleh;Arabia/Persia:M:2;
AbdolSaleh;Arabia/Persia:M:2;
Abdon;Spain:M:1;
Abdorassoul;Arabia/Persia:M:1;
Abdou;Arabia/Persia:M:4;
Abdoul;Arabia/Persia:M:5;
Abdu;Arabia/Persia:M:4;
Abduh;Arabia/Persia:M:1;
Abdul;Kosovo:M:3,Albania:M:3,Azerbaijan:M:2,Kazakhstan:M:2,Kyrgyzstan:M:2,Tajikistan:M:2,Turkmenistan:M:2,Uzbekistan:M:2,Turkey:M:4,Arabia/Persia:M:8;
Abdulah;Bosnia and Herzegovina:M:6,Montenegro:M:2;
Abdul-Ahad;Arabia/Persia:M:1;
Abdul Ahad;Arabia/Persia:M:1;
AbdulAhad;Arabia/Persia:M:1;
Abdul-Azim;Arabia/Persia:M:1;
Abdul Azim;Arabia/Persia:M:1;
AbdulAzim;Arabia/Persia:M:1;
Abdul-Aziz;Arabia/Persia:M:4;
Abdul Aziz;Arabia/Persia:M:4;
AbdulAziz;Arabia/Persia:M:4;
Abdul-Bagi;Arabia/Persia:M:2;
Abdul Bagi;Arabia/Persia:M:2;
AbdulBagi;Arabia/Persia:M:2;
Abdulbaki;Turkey:M:2;
Abdul-Basit;Arabia/Persia:M:2;
Abdul Basit;Arabia/Persia:M:2;
AbdulBasit;Arabia/Persia:M:2;
Abdulcabbar;Turkey:M:1;
Abdul-Ghani;Arabia/Persia:M:2;
Abdul Ghani;Arabia/Persia:M:2;
AbdulGhani;Arabia/Persia:M:2;
Abdul-Hadi;Arabia/Persia:M:2;
Abdul Hadi;Arabia/Persia:M:2;
AbdulHadi;Arabia/Persia:M:2;
Abdul-Hafiz;Arabia/Persia:M:2;
Abdul Hafiz;Arabia/Persia:M:2;
AbdulHafiz;Arabia/Persia:M:2;
Abdulhakim;Turkey:M:1;
Abdul-Hakim;Arabia/Persia:M:2;
Abdul Hakim;Arabia/Persia:M:2;
AbdulHakim;Arabia/Persia:M:2;
Abdul-Halim;Arabia/Persia:M:3;
Abdul Halim;Arabia/Persia:M:3;
AbdulHalim;Arabia/Persia:M:3;
Abdülhalim;Turkey:M:2;
